,Course Code,Course Title,Description
8367,PACS 94,Theory and Practice of Meditation,"A practicum using a modern method for systematically reducing random activity in the mind, with comparative studies of relevant texts from monastic and householder traditions, East and West. Theory and Practice of Meditation"
8368,PACS 98,Directed Group Study,"Group discussion, research and reporting on selected topics. Directed Group Study"
8369,PACS 100,Peace Theory: Approaches and Analyses,"This course will explore the historical development of the field through analysis of the operative assumptions, logic, and differing approaches of the seminal schools and thinkers that have shaped the field. Students will become familiar with the body of literature and major debates in peace studies and research. Peace Theory: Approaches and Analyses"
8370,PACS 119,Special Topics in Peace and Conflict Issues,"Course will focus on specific issues of current research and issues in the field of peace and conflict studies. Topics will be different each term and reflect the current research of the instructor. Students will be required to do extensive reading on a weekly basis, participate in assigned projects, and complete one major research project and class presentation. Actual assignments may vary from term to term depending upon the subject. Special Topics in Peace and Conflict Issues"
8371,PACS 125AC,"War, Culture, and Society","This course examines the experience and meaning of war in the formation of American culture and society. It considers the profound influence war has had in shaping the identities and life chances of succeeding generations of American men and women. It will take special note of the role of race, ethnicity, and class as prisms that filter this process. This course also explores how different interpretations of democracy and nationalism have served as a catalyst for social conflict and change in racial and ethnic identity and relations, especially as reflected in war. War, Culture, and Society"
8372,PACS 126,International Human Rights,"This course provides an overview to the historical, theoretical, political, and legal underpinnings that have shaped and continue to shape the development of human rights. Students are introduced to substantive topics within human rights and provided an opportunity to develop critical thinking, oral presentation, and writing skills. We discuss where the concept of human rights originates, how these ideas have been memorialized in international declarations and treaties, how they develop over time, and how they are enforced and monitored. We examine a variety of issues and encourage students to think differently--to analyze world and community events through a human rights framework utilizing some of the necessary tools to investigate, research, and think critically about human rights and the roles that we may assume within this arena. The course requires two six-page papers, participation in a team debate, and an independent reading assignment. International Human Rights"
8373,PACS 127,Human Rights and Global Politics,"Second 6 Week Session After World War II, we witnessed a ""revolution"" in human rights theory, practice, and institution building. The implications of viewing individuals as equal and endowed with certain rights is potentially far reaching as in the declaration that individuals hold many of those rights irrespective of the views of their government. Yet, we also live in a world of sovereign states with sovereign state's rights. We see everyday a clash between the rights of the individual and lack of duty to fulfill those rights when an individual's home state is unwilling or unable to do so. After introducing the idea of human rights, its historic development and various international human rights mechanisms, this course will ask what post-World War II conceptions of human rights mean for a number of specific issues including humanitarian intervention, international criminal justice, U.S. foreign policy, immigration, and economic rights. Looking in-depth at these five areas, we will ask how ideas about human rights, laws about human rights, and institutions to protect human rights have on how states and other global actors act, and how individuals have fared. Human Rights and Global Politics"
8374,PACS 128AC,Human Rights and American Cultures,"The course analyzes the theory and practice of human rights for three groupings in the United States and examines questions of race and ethnicity as they are embedded in various international human rights instruments. The course utilizes an interdisciplinary approach to the study of developing systems, laws, and norms for the promotion and protection of human rights while considering each group's underlying political, literary, and cultural traditions. Human Rights and American Cultures"
8375,PACS 130,Cross-Listed Topics,"This course is designed to accommodate cross-listed courses offered through other departments, the content of which is applicable to Peace and Conflict Studies majors. Cross-Listed Topics"
8376,PACS 135,Special Topics in Regional Conflict,Topics vary from semester to semester. The course will offer a critical interdisciplinary study of geo-political regions and the sources of their conflicts. Special Topics in Regional Conflict
8377,PACS 148AC,"Social Movements, Urban Histories, and the Politics of Memory","Course examines the history of progressive social movements in the San Francisco Bay Area. Combining history, sociology, urban geography, and ethnic studies, we ask: why and how these movements emerged? What cultural, racial, ethnic and political identities were drawn from, reconfigured, and created within these movements? What kinds of knowledge and institutions were created by these movements, and how have these legacies shaped (and been shaped by) the geography, culture, and politics of the area. As part of the ACES program, this course also engages students in creating social movement documentation through collaborations with community partners. Small student groups, supervised by an ACES Fellow, will carry out documentation projects. Social Movements, Urban Histories, and the Politics of Memory"
8378,PACS 149,Global Change and World Order,"This course will analyze emerging trends, patterns, and problems associated with the phenomenon of globalization. Particular attention will be given to world economic and social integration, ethno-religious nationalism and identity politics, domestic politics, and foreign policy. Special emphasis is placed on the prospects of peace and world order in the post-cold war era. Global Change and World Order"
8379,PACS 150,Conflict Resolution: Theory and Practice,"This course will investigate theories of individual and group conflict as a conceptual framework for practical application. Students will engage in practice as parties to conflicts and as third-party intervenors. The course will look at the sources of conflict, including multicultural aspects, and will emphasize the opportunities for growth and development in conflictive incidents. Conflict Resolution: Theory and Practice"
8380,PACS 150AC,Conflict Resolution: Theory and Practice,"This course explores the nature of interpersonal and group conflict, resolution, and their relationship to culture. The course examines the intersection between conflict and race and ethnicity in particular, with an emphasis on the major racial/ethnic groups in the United States. Other dimensions of diversity such as gender, class, and sexual orientation in conflict situations are also explored. The goal is to apply this understanding to resolving intercultural conflicts through mediation. Conflict Resolution: Theory and Practice"
8381,PACS 151,International Conflict: Analysis and Resolution,"Inspired by the changed meaning of international conflict and the expanding mission of conflict resolution in the post-cold war era, this course will study the contemporary context and issues of conflict by examining the evolution in thinking about conflict, the resolution, and their application in practice. International Conflict: Analysis and Resolution"
8382,PACS 154,Multicultural Conflict Resolution,"This course will investigate the special issues involved with facilitating resolution of cross/multicultural conflicts. Topics will include cultural contrasts (e.g., values, communication, and problem solving styles), mediator (facilitator/negotiator), credibility, cultural (including gender) contributions to conflict resolution and unique ethical dilemmas. Course includes field immersion, conflict resolution process evaluation and design , and the opportunity to participate in mediation of a cultural mediation. Multicultural Conflict Resolution"
8383,PACS 159,Conflict Resolution Intensive Training,"3 Week Session This course provides intensive experiential training in conflict resolution and mediation techniques. Participants are provided with the opportunity to apply, analyze, and evaluate in a supervised setting the results of applying conflict resolution mediation theory and models presented in other conflict resolution course work. Participants will develop and refine mediation techniques and skills through participation and observation of exercises and case studies specifically designed to focus on types and structures of interventions, roles and relationships, negotiation, and cultural diversity. Conflict Resolution Intensive Training"
8384,PACS 170,"Conflict Resolution, Social Change, and the Cultures of Peace","A comprehensive exploration of the concepts and processes of conflict resolution, using this term in the broadest sense. In particular, the course elaborates upon the relationships among conflict resolution, social change, and cultures of peace with examples drawn from the domestic and global levels. Conflict Resolution, Social Change, and the Cultures of Peace"
8385,PACS 190,Senior Seminar,Students prepare a major analytical paper synthesizing what they have learned in the major and give an oral presentation on their area of concentration. Students review literature and issues of peace and conflict studies appropriate to focus of senior paper and participate in regular consultations with instructor scheduled outside of class hours in preparing paper for presentation. All students will be expected to read and critique a common core of literature as well as readings specific to their concentration. Senior Seminar
8386,PACS 195,Senior Thesis,Research paper or suitable research project done under the direct supervision of a faculty sponsor. Subject must be approved by faculty sponsor no later than the preceding semester in which the course is to be taken. Senior Thesis
8387,PACS H195,Senior Honors Thesis Seminar,Students are required to research and write a thesis based on the prospectus developed in International and Area Studies 102 or a prospectus approved by the instructor before the first class meeting. The thesis work is conducted in regular consultation with the Honors Seminar instructor and a second topic expert reader to be selected based upon the thesis topic. Weekly progress reports and written work are required. Senior Honors Thesis Seminar
8388,PACS 197,Field Studies,Supervised experience relevant to specific aspects of Peace and Conflict Studies in off-campus organizations. Regular individual meetings with faculty sponsor and written reports required. Field Studies
8389,PACS 198,Directed Group Study for Upper Division Students,"Group discussion, research, and reporting on selected topics. Student initiation in choice of subjects is solicited and welcome. Directed Group Study for Upper Division Students"
8390,PACS 199,Supervised Independent Study,Supervised independent study or research on topics relevant to Peace and Conflict Studies that are not covered in depth by other courses. Topics to be covered are initiated by students. Supervised Independent Study
8391,PERSIAN 1A,Elementary Modern Persian,"Introduction to Persian language, covering basics of the language skills in all aspects of reading, writing, listening comprehension, and speaking with emphasis on culture and communicative methods. Elementary Modern Persian"
8392,PERSIAN 1B,Elementary Modern Persian,"Introduction to Persian language, covering basics of the language skills in all aspects of reading, writing, listening comprehension, and speaking with emphasis on culture and communicative methods. Elementary Modern Persian"
8393,PERSIAN 10,Intensive Elementary Persian,"8 Week Session This course is equivalent to a full year of elementary Persian. It will train students in the four language skills: speaking, comprehension, reading, and writing. Emphasis will be placed on the functional usage of the language. Intensive Elementary Persian"
8394,PERSIAN 11A,Reading and Composition for Persian Speaking Students,"Designed for heritage students who possess oral skills (speaking/comprehension, though limited) but need to improve their writing and reading abilities, and expand their knowledge of Persian grammar and syntax. Completion of 11A-11B will prepare the student to take Persian 20A, Intermediate Persian. Reading and Composition for Persian Speaking Students"
8395,PERSIAN 11B,Reading and Composition for Persian-Speaking Students,"Designed for heritage students who possess oral skills (speaking/comprehension, though limited) but need to improve their writing and reading abilities, and expand their knowledge of Persian grammar and syntax. Completion of 11A-11B will prepare the student to take Persian 20A, Intermediate Persian. Reading and Composition for Persian-Speaking Students"
8396,PERSIAN 20,Intensive Intermediate Persian,"8 Week Session A year or more of advanced level Persian with emphasis on advanced grammar and vocabulary build up. Newspaper clippings, film reviews and cultural awareness through introduction of literature will be covered. Intensive Intermediate Persian"
8397,PERSIAN 20A,Intermediate Modern Persian,"The sequence begins in the fall. This course emphasizes reading of simple literary texts, expository writing and composition, formal conversation, grammar, and syntax. It involves intensive vocabulary building in preparation for advanced reading and comprehension of standard literary texts. Intermediate Modern Persian"
8398,PERSIAN 20B,Intermediate Modern Persian,"The sequence begins in the fall. This course emphasizes reading of simple literary texts, expository writing and composition, formal conversation, grammar, and syntax. It involves intensive vocabulary building in preparation for advanced reading and comprehension of standard literary texts. Intermediate Modern Persian"
8399,PERSIAN 50,Persian Reading and Composition,10 Week Session This course is designed to promote advanced literacy skills in students with different levels of spoken Persian but little or no reading and writing skills in the language. This course will prepare students to take advanced literature courses in the Persian language. Persian Reading and Composition
8400,PERSIAN 100A,Advanced Persian,"Emphasis on intensive vocabulary building, comprehensive grammar review, reading and analysis of short literary texts of various genres from classical and modern periods, and reading newspaper clips and other original sources in Persian media. Advanced Persian"
8401,PERSIAN 100B,Advanced Persian,"Emphasis on intensive vocabulary building, comprehensive grammar review, reading and analysis of short literary texts of various genres from classical and modern periods, and reading newspaper clips and other original sources in Persian media. Advanced Persian"
8402,PERSIAN 101A,Readings in Persian Literature,"Readings in both prose and poetry, drawn chiefly from classical and modern Persian literature, designed to increase reading skills and vocabulary and to provide a transition to the study of more challenging literary texts. Readings in Persian Literature"
8403,PERSIAN 101B,Readings in Persian Literature,"Readings in both prose and poetry, drawn chiefly from classical and modern Persian literature, designed to increase reading skills and vocabulary and to provide a transition to the study of more challenging literary texts. Readings in Persian Literature"
8404,PERSIAN 102A,Readings in Classical Persian Prose,"Systematic study of representative selections from all periods of classical Persian literature, with attention to the historical and intellectual context. Readings in Classical Persian Prose"
8405,PERSIAN 102B,Readings in Classical Persian Prose,"Systematic study of representative selections from all periods of classical Persian literature, with attention to the historical and intellectual context. Readings in Classical Persian Prose"
8406,PERSIAN 103A,Classical Persian Poetry,"Systematic study of poems belonging to all genres of classical Persian poetry, with consideration of questions of prosody, rhetoric, and style. Classical Persian Poetry"
8407,PERSIAN 103B,Classical Persian Poetry,"Systematic study of poems belonging to all genres of classical Persian poetry, with consideration of questions of prosody, rhetoric, and style. Classical Persian Poetry"
8408,PERSIAN 104A,Contemporary Persian Literature,Contemporary Persian Literature
8409,PERSIAN 104B,Contemporary Persian Literature,"This course will deal with significant works of Persian prose and poetry from the beginning of the 19th century down to the present. Complete works or extracts from them will be read in the original as a preliminary to their analysis in terms of literary and stylistic development, as well as the changing role of literature in society. The literature of the rest of the 20th century. Contemporary Persian Literature"
8410,PERSIAN 105,Modern Analytical Prose in Persian,"This course deals with modern/contemporary critical theory, literary history, aesthetics and philosophy, and various theories of literary and cultural criticism in Persian. It concentrates on selected modern analytical, discursive, and expository texts in Persian. The course explores, from an inter- and multi-disciplinary perspective, how different movements, genres, and rhetorical aspects of modern/contemporary literature and culture have been perceived, historically contextualized, and critically positioned within the larger intellectual and scholarly domain in Persian. All texts will be read in the original Persian. Modern Analytical Prose in Persian"
8411,PERSIAN 120,Intensive Intermediate Persian,"A year or more of advanced level Persian with emphasis on advanced grammar and vocabulary build up. Newspaper clippings, film reviews and cultural awareness through introduction of literature will be covered. Intensive Intermediate Persian"
8412,PERSIAN H195,Senior Honors,Directed study centered upon preparation of an honors thesis. Senior Honors
8413,PERSIAN 198,Directed Group Study for Upper Division Students,Instruction in areas not covered by regularly scheduled courses. Directed Group Study for Upper Division Students
8414,PERSIAN 199,Supervised Independent Study and Research,Enrollment is restricted by regulations shown in the . Supervised Independent Study and Research
8415,PERSIAN 200A,Readings in Persian Literary Texts,Advanced topics in Persian literature from various periods of Persian culture and literary history. Readings in Persian Literary Texts
8416,PERSIAN 200B,Readings in Persian Literary Texts,Advanced topics in Persian literature from various periods of Persian culture and literary history. Readings in Persian Literary Texts
8417,PERSIAN 202A,Persian Sufi Writings,"Readings in all genres of Sufi expression, prose and poetry, with concentration on major figures. Persian Sufi Writings"
8418,PERSIAN 202B,Persian Sufi Writings,"Readings in all genres of Sufi expression, prose and poetry, with concentration on major figures. Persian Sufi Writings"
8419,PERSIAN 298,Seminar,Special topics in Persian. Topics vary and are announced at the beginning of each semester. Seminar
8420,PERSIAN 301A,Teaching Persian in College,"Lectures on the methodology of teaching Persian as a foreign language at the college level. Lectures on constructive analysis of English and Persian, classroom strategies, and the development of instructional materials. Required of all new graduate student instructors in Persian. Teaching Persian in College"
8421,PHILOS R1B,Reading and Composition Through Philosophy,Training in writing expository prose in conjunction with reading philosophical texts. Satisfies the second half of the Reading and Composition requirement. Reading and Composition Through Philosophy
8422,PHILOS 2,Individual Morality and Social Justice,Introduction to ethical and political philosophy. Individual Morality and Social Justice
8423,PHILOS 3,The Nature of Mind,Introduction to the philosophy of mind. Topics to be considered may include the relation between mind and body; the structure of action; the nature of desires and beliefs; the role of the unconscious. The Nature of Mind
8424,PHILOS 4,Knowledge and Its Limits,Second 6 Week Session Introduction to the theory of knowledge. Knowledge and Its Limits
8425,PHILOS 5,Science and Human Understanding,Introduction to the Philosophy of Science. Science and Human Understanding
8426,PHILOS 6,"Man, God, and Society in Western Literature","Philosophical issues as expressed in poetry, drama, and the novel. This course will compare and contrast the Greek, Medieval, and modern worlds, as reflected in their greatest literature, with special emphasis on the role of the community in reconciling conflicts between sub-groups in society and the individual's ability to understand and control his own life. We will also follow man's realization that the changing answers to these questions are themselves self-interpretations. Man, God, and Society in Western Literature"
8427,PHILOS 7,Existentialism in Literature and Film,"Christian, agnostic, and atheistic existentialism as expressed in the works of Dostoyevsky, Melville, Kafka, Antonioni, Goddard, etc. Existentialism in Literature and Film"
8428,PHILOS 9,Introduction to Feminist Philosophy,"10 Week Session This course is an introduction to key issues in feminist philosophy. The first part of the course focuses on building up a toolbox of important feminist concepts. In the second unit of the course, we will consider several major approaches to thinking about sex- and gender-based oppression. Finally, we will bring our knowledge of those approaches to bear on a number of special topics. Throughout the course , we will focus on the ways in which questions about the nature, status, rights, and abilities of women intersect with questions about race, class, sexuality, coloniality, and disability. Introduction to Feminist Philosophy"
8429,PHILOS 10,Comparative Ethics,"A comparative study of topics in Chinese and Western ethical traditions. Topics include love, compassion, benevolence; rituals, filial obligations, the individual and the family; pride, shame, guilt; conscientiousness, courage, wisdom; trustworthiness, forms of integrity; concepts of the self; self-cultivation; human nature, destiny, the cosmic order; the concept of morality, morality and tradition. The course will conclude with a discussion of metaethical issues concerning the confrontation between rival ethical traditions and methodological issues in the study of comparative ethics. Comparative Ethics"
8430,PHILOS 11,Introduction to the Philosophy of Religion,"A survey of basic issues in contemporary philosophy of religion, exploring arguments about God's existence, the status of religious experiences and beliefs, how souls might interact with bodies, and the relationship of God to morality. Introduction to the Philosophy of Religion"
8431,PHILOS 12A,Introduction to Logic,"Syntax, semantics, and proof theory of sentential and predicate logic. Introduction to Logic"
8432,PHILOS W12A,Introduction to Logic,"8 Week Session Intended as a first course in logic for students with no previous exposure to the subject, the course treats symbolic logic. Students will learn to formalize reasoning in symbolic languages with precisely defined meanings and rules of inference. Symbolic logic is by nature a mathematical subject, but the course does not presuppose any prior coursework in mathematics—only an openness to mathematical reasoning. The course concentrates on three systems of symbolic logic: propositional logic (or sentential logic); syllogistic logic; and predicate logic (or first-order logic). Students from philosophy, mathematics, computer science, and linguistics will find important connections between symbolic logic and their other coursework. Introduction to Logic"
8433,PHILOS 13,Business Ethics,"10 Week Session This course addresses the nature of ethical motivation and agency, with special attention to the individual's role in a business organization. Topics include theories of ethical motivation; individual character and organizational culture; personal integrity; corporate agency; corporate responsibility to society. Business Ethics"
8434,PHILOS 14,Philosophy of Artificial Intelligence,"A tour of metaphysical, epistemological, and ethical issues raised by AI examining questions like: What is intelligence? What is agency? How do we know if machines have either of these? What’s the difference between an AI making predictions, yielding explanations, and understanding? What exactly would it take for a machine to understand natural language as human beings do? On the ethical side, questions like: If an algorithm manifests biased behavior, whose fault is it? How applications of AI threaten privacy or manipulate? Do basic questions of morality need to be settled so that we can program autonomous robots and vehicles? Finally, we consider if a superintelligent AI is a thing to look forward to, a grave threat, or a sci-fi fantasy. Philosophy of Artificial Intelligence"
8435,PHILOS 16,Introduction to Metaphysics,"10 Week Session This course is an introduction to some of the traditional questions in metaphysics--the study of what there is in the world and how what there is is structured. Topics will include free will and determinism, the mind-body problem, and personal identity. If time permits, we will also examine arguments for the existence of God. Introduction to Metaphysics"
8436,PHILOS 17,"Concepts of the Person in Novel, Drama, and Film","In any culture, the way we act implies some view of what it is to be a person, and indeed what it is to be a particular kind of person, e.g., black or white, male or female, citizen or non-citizen. This view determines what roles and privileges are available to specific individuals and how these individuals will think of themselves and evaluate their actions and obligations. We will focus on works of philosophy, literature and film which have had a powerful and lasting impact on our culture. Concepts of the Person in Novel, Drama, and Film"
8437,PHILOS 18,Confucius for Today,"The teachings of Confucius (6th to 5th century B.C.) have had a profound influence on Chinese and East Asian cultures, and have attracted significant interest throughout the world. In what ways are they still of relevance to life in the twenty-first century? The course will consider the contemporary implications of Confucius’ teachings for such topics as: family, rituals, life and death, fate, contentment and anxiety, anger and resentment, courage , respectfulness, modesty and humility, trustworthiness, learning, self-cultivation, semblances of virtue. In addition to reading selected passages from the Analects, we will also consider commentaries by later Confucians and read contemporary philosophical articles on the relevant topics. Confucius for Today"
8438,PHILOS 19,Introduction to Arabic Philosophy,"First 6 Week Session In this introductory survey of Arabic philosophy, we will focus on the philosophical works of al-Kindi, al-Razi, al-Farabi, Ibn Sina (Avicenna), al-Ghazali, and Ibn Rushd (Averroes) producing during the “Islamic Golden Age,” traditionally dated from the 9th to the 12th century CE. Introduction to Arabic Philosophy"
8439,PHILOS 24,Freshman Seminar,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment is limited to 15 freshmen. Freshman Seminar"
8440,PHILOS 25A,Ancient Philosophy,"The history of ancient philosophy with special emphasis on the Presocratics, Plato, and Aristotle. Ancient Philosophy"
8441,PHILOS 25B,Modern Philosophy,The history of modern philosophy from Descartes through Kant. Modern Philosophy
8442,PHILOS 39,Freshman Seminar,Study of various fields of philosophy of special interest to freshman. Topics will vary from semester to semester and will be individually announced. Freshman seminars are restricted to fifteen students each. Freshman Seminar
8443,PHILOS 84,Sophomore Seminar,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores. Sophomore Seminar"
8444,PHILOS 98,Directed Group Study for Lower Division Students,Directed study on special topics. Directed Group Study for Lower Division Students
8445,PHILOS 98BC,Berkeley Connect,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate. Berkeley Connect"
8446,PHILOS 100,Philosophical Methods,"The course is designed to acquaint students with the techniques of philosophical reasoning through detailed study of selected philosophical texts and through extensive training in philosophical writing, based on those texts. Should be taken as early as possible after declaring the major. Philosophical Methods"
8447,PHILOS 104,Ethical Theories,The fundamental concepts and problems of morality examined through the study of classical and contemporary philosophical theories of ethics. Ethical Theories
8448,PHILOS 106,Bioethics: Clinical and Population-Level,"This course aims to introduce you to a range of philosophical debates in clinical and population-level bioethics. Among the topics in clinical bioethics that we will discuss are: abortion; physician-assisted suicide and euthanasia; pre-commitment in bioethics; genetic enhancement; and the Non-Identity Problem. In population-level bioethics, questions we will discuss include: the concept of disability; the measurement and valuation of health; cost-effectiveness and disability-discrimination; Bioethics in a Time of Pandemic: Quarantine, Triage, Drug Trials; health inequalities and justice; personal and social responsibility for health; personal and social responsibility for health; standards of care in clinical trials in the US and abroad. Bioethics: Clinical and Population-Level"
8449,PHILOS 107,Moral Psychology,"An investigation of central issues in moral psychology, such as: free will, weakness of will, self-deception, moral motivation, emotions, virtues, moral education. Moral Psychology"
8450,PHILOS 108,Contemporary Ethical Issues,"This course will be devoted to in-depth discussion of a variety of problems in moral philosophy raised by real-life questions of individual conduct and social policy. Its contents will vary from occasion to occasion. Possible topics include philosophical problems posed by affirmative action, abortion, euthanasia, capital punishment, terrorism, war, poverty, and climate change. Contemporary Ethical Issues"
8451,PHILOS 109,Freedom and Responsibility,"First 6 Week Session A systematic examination of freedom and responsibility. The following topics will be addressed (among others): the relations between freedom of will, freedom of action, and autonomy; moral responsibility and its conditions; naturalism, determinism, and their relevance for human freedom; practical deliberation and the structure of the will; weakness and strength of will. Readings may be drawn from both historical and contemporary sources. Freedom and Responsibility"
8452,PHILOS 110,Aesthetics,"Visual arts/literature and music. Form, expression, representation style; interpretation and evaluation. Aesthetics"
8453,PHILOS 112,Special Topics in Aesthetics,"This course is intended to allow a more focused exploration of particular topics in aesthetics than is possible in Philosophy 110. Its contents will vary from occasion to occasion. Topics may include philosophical questions arising for particular art forms such as painting, music, or dance; questions about form, expression, representation, and emotion in aesthetic experience; or the ideas of particular aesthetic movements or schools of thought. Special Topics in Aesthetics"
8454,PHILOS 114,History of Political Philosophy,"A survey of the major political philosophers, including some or all of Plato, Aristotle, Hobbes, Locke, Rousseau, Kant, Bentham, Mill, and Marx. History of Political Philosophy"
8455,PHILOS 115,Political Philosophy,Analysis of political obligation and related problems. Political Philosophy
8456,PHILOS 116,Special Topics in Political Philosophy,"This course is designed to deal with a variety of topics in political philosophy. Its contents will vary from occasion to occasion. Possible topics include problems in liberal theory; justice, desert, and responsibility; communitarianism, nationalism, and cosmopolitanism. Special Topics in Political Philosophy"
8457,PHILOS 117AC,"The Philosophy of Race, Ethnicity, and Citizenship","This course explores philosophical questions of race, ethnicity, and citizenship, with special attention to the experiences of African Americans, Asian Americans, Latino Americans, and indigenous peoples of the United States. Topics include the meaning of “race,” “ethnicity,” and “citizenship,” border control and immigration, reparations for past wrongs, discrimination and affirmative action, civic obligation and group solidarity , and the right to vote. The Philosophy of Race, Ethnicity, and Citizenship"
8458,PHILOS 119,Feminism and Philosophy,Second 6 Week Session This course will introduce students to a range of historical and contemporary feminist issues. Feminism and Philosophy
8459,PHILOS 121,Moral Questions of Data Science,"This course explores, from a philosophical perspective, ethical questions arising from collecting, drawing inferences from, and acting on data, especially when these activities are automated and at a large scale. Topics include: bias, fairness, discrimination, interpretability, privacy, paternalism, freedom of speech, and democracy. Three hours of lecture and one hour of discussion per week. Moral Questions of Data Science"
8460,PHILOS 122,Theory of Knowledge,First 6 Week Session Theory of Knowledge
8461,PHILOS 125,Metaphysics,"An advanced introduction to contemporary metaphysics, focusing on the ideas of objectivity, existence, naturalness, identity, time, causation, and possibility. Metaphysics"
8462,PHILOS 126,Philosophy of Physics,"This course is an introduction to various philosophical issues which arise in physics, concerning the nature of motion, laws, forces, space, time, and probability. The first half of the course will be concerned with classical mechanics; the second half will introduce special relativity and quantum mechanics. Questions to be discussed include: Are there instantaneous velocities? Are the laws of physics true, or are they just predictively useful approximations? Are forces like gravity real, or are they just mathematically convenient fictions? Is Newtonian mechanics really deterministic? Is space a thing (and what would that even mean)? What makes time different from space? In what sense does time have a direction? Is the present special? Philosophy of Physics"
8463,PHILOS 127,Rationality and Irrationality in Science,"Science is often regarded as preeminently rational. Yet recent work in philosophy, history and sociology of science suggests that scientific knowledge is no more rationally established than other sorts of knowledge, and that scientists' convictions are driven more by party loyalty and ego than by a pureminded pursuit of truth. This course will consider the case for and against the rationality of science. It will also consider the recent controversy concerning ""scientific"" creationism. Rationality and Irrationality in Science"
8464,PHILOS 128,Philosophy of Science,A survey of main topics in the logic of science and of other issues coming under the general heading of philosophy of science. Philosophy of Science
8465,PHILOS 129,Special Topics in the Philosophy of Science,"An in-depth discussion of one or a few special issues in, or approaches to, the philosophy of science. Details of current topics are available in the departmental guide of each semester in which the course is given. Special Topics in the Philosophy of Science"
8466,PHILOS 132,Philosophy of Mind,"Mind and matter; other minds; the concept ""person."" Philosophy of Mind"
8467,PHILOS C132,Philosophy of Mind,"Mind and matter; other minds; the concept of ""person."" Philosophy of Mind"
8468,PHILOS 133,Philosophy of Language,"An introduction to central topics in the philosophy of language, for example the nature of linguistic meaning, the relation of meaning to truth and reference, knowledge of language, the relation of language to thought, pragmatic aspects of linguistic communication, and skepticism about linguistic meaning. Some previous background in philosophy and logic is required. Philosophy of Language"
8469,PHILOS 134,Form and Meaning,"How is the meaning of a whole sentence determined by the meanings of its parts, and by its structure? This question is addressed in empirical semantic theories for natural language. The character and content of such theories has been a central concern both of the philosophy of language and of recent linguistics, and it is the central focus of this course. Form and Meaning"
8470,PHILOS 135,Theory of Meaning,"First 6 Week Session Language as social behavior. Language compared to other sign systems. The foundations of semantics, truth, meaning, reference. Issues of logical form in belief sentences, indirect discourse, sentences about causality, events, actions. Relations between thought and language. Theory of Meaning"
8471,PHILOS 136,Philosophy of Perception,"This course will cover central central questions and debates in the philosophy of perception, examining from various angles the idea that sensory perception is a way of being aware of and obtaining objective knowledge about the world – indeed, that it is in some sense the way of doing so. Students will read primary texts on these issues, and they will practice analyzing arguments and comparing philosophical views. They will also train their argumentative essay writing skills. Class meetings will be partly lecture-based, but there will be time for discussion and other activities as well. Philosophy of Perception"
8472,PHILOS 138,Philosophy of Society,This course deals with the ontology of society and thus provides a foundation for the social sciences. The main questions discussed are: 1) What is the mode of existence of social reality? 2) How does it relate to psychological and physical reality? 3) What implications does social ontology have for social explanations? Philosophy of Society
8473,PHILOS 140A,Intermediate Logic,"Major concepts, results, and techniques of modern logic. Basic set theoretic tools. Model theoretic treatment of propositional and first-order logic (completeness, compactness, Lowenheim-Skolem). Philosophical implcations of these results. Intermediate Logic"
8474,PHILOS 140B,Intermediate Logic,"Major concepts, results, and techniques of modern logic. Turing machines, computability theory, undecidability of first-order logic, proof theory, Godel's first and second inompleteness theorms. Philosophical implications of these results. Intermediate Logic"
8475,PHILOS 141,Philosophy and Game Theory,An exploration of how game theory and rational choice theory shed light on traditional philosophical problems; and of new paradoxes and problems introduced by these theories. Philosophy and Game Theory
8476,PHILOS 142,Philosophical Logic,"The course aims at introducing students to the basic topics in philosophy of logic. Among the topics to be treated are the notions of validity, truth and truth functionality, quantification, and necessity. Philosophical Logic"
8477,PHILOS 143,Modal Logic,"An introduction to the logical study of modality in its many forms: reasoning about necessity, knowledge, obligation, time, counterfactuals, provability, and other modal notions. Covers core concepts and basic metatheory of propositional modal logic, including relations to first-order logic; basics of quantified modal logic; selected philosophical applications ranging from epistomology to ethics, metaphysics to mathematics. Modal Logic"
8478,PHILOS 144,Social Choice Theory,"Individuals in a group often have conflicting preferences between alternative courses of action, e.g., concerning the choice of a leader for the group, the choice of public policies, and so on. Moreover, actions often affect individuals differently: some may gain while others may lose, and the magnitudes of gains and losses may be unequal for different individuals. These observations lead to two of the basic questions of Social Choice Theory. First, what are good methods of group decision making in the face of conflicting preferences? Second, can we evaluate the overall social welfare of some alternative course of action in terms of the welfare of each individual in the group under that alternative? Social Choice Theory"
